Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Fri, Jun 23, 2023",New York Liberty,110,Atlanta Dream,80,2023
"Fri, Jun 23, 2023",Dallas Wings,74,Los Angeles Sparks,76,2023
"Sat, Jun 24, 2023",Indiana Fever,88,Las Vegas Aces,101,2023
"Sat, Jun 24, 2023",Phoenix Mercury,74,Seattle Storm,97,2023
"Sun, Jun 25, 2023",Chicago Sky,72,Connecticut Sun,96,2023
"Sun, Jun 25, 2023",Dallas Wings,83,Los Angeles Sparks,93,2023
"Sun, Jun 25, 2023",Washington Mystics,88,New York Liberty,89,2023
"Mon, Jun 26, 2023",Indiana Fever,80,Las Vegas Aces,88,2023
"Tue, Jun 27, 2023",New York Liberty,89,Connecticut Sun,81,2023
"Tue, Jun 27, 2023",Seattle Storm,93,Minnesota Lynx,104,2023
"Tue, Jun 27, 2023",Dallas Wings,77,Phoenix Mercury,62,2023
"Wed, Jun 28, 2023",Los Angeles Sparks,63,Chicago Sky,80,2023
"Wed, Jun 28, 2023",Atlanta Dream,86,Washington Mystics,109,2023
"Thu, Jun 29, 2023",New York Liberty,81,Las Vegas Aces,98,2023
"Thu, Jun 29, 2023",Indiana Fever,63,Phoenix Mercury,85,2023
"Thu, Jun 29, 2023",Minnesota Lynx,99,Seattle Storm,97,2023
"Fri, Jun 30, 2023",Washington Mystics,89,Atlanta Dream,94,2023
"Fri, Jun 30, 2023",Los Angeles Sparks,78,Chicago Sky,86,2023
"Sat, Jul 1, 2023",Connecticut Sun,84,Las Vegas Aces,102,2023
"Sat, Jul 1, 2023",Minnesota Lynx,86,Phoenix Mercury,76,2023
"Sun, Jul 2, 2023",Los Angeles Sparks,84,Atlanta Dream,112,2023
"Sun, Jul 2, 2023",Washington Mystics,72,Dallas Wings,89,2023
"Sun, Jul 2, 2023",Chicago Sky,89,Indiana Fever,87,2023
"Sun, Jul 2, 2023",New York Liberty,81,Seattle Storm,66,2023
"Wed, Jul 5, 2023",Atlanta Dream,90,Los Angeles Sparks,79,2023
"Wed, Jul 5, 2023",Dallas Wings,82,Las Vegas Aces,89,2023
"Wed, Jul 5, 2023",Indiana Fever,83,Minnesota Lynx,90,2023
